Continent,Country,Demox_eiu,Income_per_person,Invest_%_gdp,Tax_%_gdp,Gini_index,Happiness_Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Africa,Angola,34,6260,8.4,10.3,42.6,141,3.866,3.753,3.979,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459
Africa,Botswana,78.7,16000,24.3,20.8,60.5,137,3.974,3.875,4.073,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741
Africa,Burkina Faso,47,1640,23.2,15.8,35.3,145,3.739,3.647,3.831,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319
Africa,Cote d'Ivoire,38.1,3400,20.7,15.2,41.5,0,0,0,0,0,0,0,0,0,0,0
Africa,Kenya,53.3,2890,17.3,15.8,41.1,122,4.356,4.259,4.453,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326
Africa,Lesotho,65.9,2940,28.3,34.2,54.2,0,0,0,0,0,0,0,0,0,0,0
Africa,Malawi,55.5,1140,10.8,15.5,45.5,132,4.156,4.041,4.271,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859
Africa,Mali,57,1970,17.4,15.4,33,135,4.073,3.988,4.158,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087
Africa,Mauritius,82.8,19600,17.9,18.1,35.8,66,5.648,5.507,5.789,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223
Africa,Mozambique,40.2,1170,38.3,20.1,53.7,0,0,0,0,0,0,0,0,0,0,0
Africa,Namibia,63.1,10400,23.7,28.5,59.3,113,4.574,4.374,4.774,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198
Africa,Rwanda,30.7,1830,25.9,14.8,45.1,152,3.515,3.444,3.586,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819
Africa,Senegal,62.1,3100,24.9,20.5,40.3,128,4.219,4.151,4.287,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861
Africa,South Africa,74.1,12200,19.4,27.1,63,116,4.459,4.371,4.547,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227
Africa,Togo,33.2,1500,22.9,21.9,43.2,155,3.303,3.192,3.414,0.28123,0,0.24811,0.34678,0.11587,0.17517,2.1354
Africa,Uganda,52.6,1770,25.5,13.5,42.2,145,3.739,3.629,3.849,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416
Africa,Zambia,59.9,3700,38.2,14.9,57.1,106,4.795,4.645,4.945,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991
Americas,Argentina,69.6,18600,17,12.2,42.1,26,6.65,6.56,6.74,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985
Americas,Brazil,69,14200,15.4,12.9,51.4,17,6.952,6.875,7.029,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733
Americas,Canada,91.5,43100,23.2,12.2,31.1,6,7.404,7.335,7.473,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485
Americas,Chile,77.8,22300,22.2,17.4,47.6,24,6.705,6.615,6.795,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505
Americas,Colombia,66.7,13200,24.7,13.3,51.3,31,6.481,6.384,6.578,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471
Americas,Costa Rica,78.8,15100,17.9,14,48.6,14,7.087,6.999,7.175,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168
Americas,Dominican Republic,66.7,14500,21.9,13.5,44.9,89,5.155,5.037,5.273,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626
Americas,El Salvador,66.4,7120,15.1,17.6,40.4,46,6.068,5.967,6.169,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134
Americas,Guatemala,59.2,7370,12.9,10.4,48.3,39,6.324,6.213,6.435,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863
Americas,Jamaica,73.9,8120,21.3,26.1,45.5,73,5.51,5.315,5.705,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682
Americas,Mexico,64.7,17800,23.7,13.6,46.3,21,6.778,6.68,6.876,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906
Americas,Nicaragua,48.1,5000,30.7,16.3,46.2,48,5.992,5.877,6.107,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428
Americas,Paraguay,62.7,11400,18,12.6,48.4,70,5.538,5.453,5.623,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091
Americas,Peru,66.5,12400,22.1,13.8,43.6,64,5.743,5.647,5.839,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117
Americas,United States,79.8,53600,19.7,10.9,41.4,13,7.104,7.02,7.188,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782
Americas,Uruguay,81.7,20200,17.8,23.7,39.9,29,6.545,6.456,6.634,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139
Asia,Armenia,38.8,8160,18,21.3,32.3,121,4.36,4.266,4.454,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864
Asia,Bangladesh,57.3,3420,29.7,8.77,32.4,110,4.643,4.56,4.726,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904
Asia,Bhutan,49.3,8940,55.6,13.2,37.8,84,5.196,5.138,5.254,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916
Asia,Cambodia,42.7,3470,22.7,15.3,42,140,3.907,3.798,4.016,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573
Asia,Indonesia,69.7,10700,33.8,10.3,38.9,79,5.314,5.237,5.391,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171
Asia,Iraq,40.8,16500,20.6,2.02,29.5,112,4.575,4.446,4.704,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657
Asia,Israel,78.5,32700,20.5,23.4,41.4,11,7.267,7.199,7.335,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029
Asia,Japan,79.9,38100,23.6,11.1,32.1,53,5.921,5.85,5.992,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584
Asia,Kazakhstan,30.6,23400,27.8,9.92,26.9,54,5.919,5.837,6.001,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325
Asia,Kyrgyzstan,49.3,3310,33.9,16.9,27.2,85,5.185,5.103,5.267,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136
Asia,Laos,23.7,6000,29,12.9,36.4,102,4.876,4.742,5.01,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637
Asia,Lebanon,48.6,11800,24.8,13.9,31.8,93,5.129,5.031,5.227,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339
Asia,Malaysia,65.4,26100,25.9,13.8,41.1,47,6.005,5.921,6.089,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384
Asia,Mongolia,66.2,11200,29.4,11.3,32.3,101,4.907,4.838,4.976,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586
Asia,Myanmar,42,5290,32.9,6.41,38.1,119,4.395,4.327,4.463,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655
Asia,Nepal,48.6,2450,33.7,18.7,32.8,107,4.793,4.698,4.888,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694
Asia,Philippines,69.4,7210,24.3,13.7,42.4,82,5.279,5.16,5.398,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484
Asia,Singapore,63.8,84700,27,13.7,40.9,22,6.739,6.674,6.804,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375
Asia,Sri Lanka,64.8,11400,35,12.3,39.7,117,4.415,4.322,4.508,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681
Asia,South Korea,79.2,35000,29.3,14.8,31.6,57,5.835,5.747,5.923,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2.35015
Asia,Thailand,49.2,15700,21.7,15.5,36.2,33,6.474,6.396,6.552,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796
Asia,Timor-Leste,72.4,7570,26.1,9.82,28.7,0,0,0,0,0,0,0,0,0,0,0
Asia,United Arab Emirates,27.5,67000,26,0.0435,40,28,6.573,6.494,6.652,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507
Asia,Uzbekistan,19.5,5880,24.9,17.3,33.5,49,5.987,5.896,6.078,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638
Europe,Albania,59.1,11400,24.8,17.6,29,109,4.655,4.546,4.764,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816
Europe,Austria,84.1,44700,24.1,25.7,30.5,12,7.119,7.045,7.193,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343
Europe,Belarus,35.4,16800,26.5,13.8,27,61,5.802,5.723,5.881,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582
Europe,Belgium,77.7,42200,24,23.1,27.8,18,6.929,6.861,6.997,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355
